time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2024-10-01 00:00:00,0.0,0,2.1535127,74.754616,158.62575,0.012613022,3.8925617
2024-10-01 01:00:00,0.0,0,2.3244388,73.31277,155.82883,0.013315424,4.1104836
2024-10-01 02:00:00,0.0,0,2.3747263,74.18061,163.4939,0.0142113,4.308792
2024-10-01 03:00:00,0.0,0,2.5561612,71.71632,169.52498,0.026033545,4.3438087
2024-10-01 04:00:00,0.0,0,3.3378742,72.36741,169.46031,0.0591888,4.24378
2024-10-01 05:00:00,0.0,0,4.936998,72.006996,173.49239,0.24358945,4.0376797
2024-10-01 06:00:00,0.0,0,4.790428,70.92337,182.76515,0.6690068,4.2441216
2024-10-01 07:00:00,0.0,0,4.1502104,73.42589,181.69661,0.9833793,4.6799026
2024-10-01 08:00:00,0.0,0,3.4652932,75.46659,175.19609,1.0053682,4.377043
2024-10-01 09:00:00,0.0,0,2.8105419,77.47506,167.57039,0.89132243,3.9924533
2024-10-01 10:00:00,0.0,0,2.822406,79.882324,163.65955,0.813546,3.8732111
2024-10-01 11:00:00,0.0,0,2.8855407,83.67468,162.8167,0.7536766,3.6923568
2024-10-01 12:00:00,0.0,0,2.869703,87.85043,161.47359,0.6899977,3.4353533
2024-10-01 13:00:00,0.0,0,3.3536456,87.28196,160.64998,0.6891189,3.3747017
2024-10-01 14:00:00,0.0,0,3.7297564,89.237236,162.34908,0.70859647,3.308306
2024-10-01 15:00:00,0.0,0,4.4519105,87.90858,162.15733,0.5817216,3.304488
2024-10-01 16:00:00,0.0,0,5.8611474,85.40908,166.60852,0.3312517,3.4311445
2024-10-01 17:00:00,0.0,0,7.0884075,82.82453,171.65068,0.15389943,3.7187097
2024-10-01 18:00:00,0.0,0,6.4539638,79.45635,174.00275,0.07067295,3.630255
2024-10-01 19:00:00,0.0,0,5.835678,76.957985,175.40837,0.045794483,3.4429057
2024-10-01 20:00:00,0.0,0,5.8972154,76.11378,174.21075,0.032581642,3.1809711
2024-10-01 21:00:00,0.0,0,5.3654923,72.49102,172.58809,0.024621785,2.794508
2024-10-01 22:00:00,0.0,0,4.803056,72.24122,171.4504,0.01945392,2.5476143
2024-10-01 23:00:00,0.0,0,4.420555,71.08061,171.3954,0.019038696,2.7067099
2024-10-02 00:00:00,0.0,0,3.9415236,73.15058,170.43777,0.019362438,2.902876
2024-10-02 01:00:00,0.0,0,3.9780233,71.6474,169.3775,0.019342156,3.0186749
2024-10-02 02:00:00,0.0,0,3.7353382,70.56851,169.63411,0.023173166,2.7454731
2024-10-02 03:00:00,0.0,0,4.800011,68.73552,173.16725,0.03161442,2.8627632
2024-10-02 04:00:00,0.0,0,7.641517,66.94195,180.136,0.07078072,3.3921928
2024-10-02 05:00:00,0.0,0,13.27843,60.460842,200.13837,0.5426675,3.940049
2024-10-02 06:00:00,0.0,0,16.872105,59.840496,213.77008,3.0095026,3.9173603
2024-10-02 07:00:00,0.0,0,12.442479,68.015434,204.49593,2.9885178,4.6696525
2024-10-02 08:00:00,0.0,0,10.387726,74.69661,191.30873,2.4269037,5.4148
2024-10-02 09:00:00,0.0,0,9.271966,78.58756,187.65453,2.161194,5.324242
2024-10-02 10:00:00,0.0,0,8.75509,84.201096,183.27412,2.351022,5.3677635
2024-10-02 11:00:00,0.0,0,8.339377,91.329834,177.21394,1.7296027,5.056457
2024-10-02 12:00:00,0.0,0,6.281715,97.22402,170.46815,1.3082942,4.071114
2024-10-02 13:00:00,0.0,0,5.6081233,97.69787,166.35634,1.0106366,3.571827
2024-10-02 14:00:00,0.0,0,6.171738,94.91781,164.97005,0.90731734,3.361625
2024-10-02 15:00:00,0.0,0,7.2008796,91.806244,167.3617,0.72431284,3.3288488
2024-10-02 16:00:00,0.0,0,11.795592,82.48003,181.30443,0.42895952,3.398694
2024-10-02 17:00:00,0.0,0,14.525811,78.01333,188.9936,0.21800281,3.4219456
2024-10-02 18:00:00,0.0,0,15.260959,77.74627,193.75633,0.13374665,3.3657904
2024-10-02 19:00:00,0.0,0,14.808224,73.420235,197.33727,0.100899436,3.495217
2024-10-02 20:00:00,0.0,0,11.811175,77.43779,192.82794,0.076299265,3.523434
2024-10-02 21:00:00,0.0,0,9.793759,77.34481,186.1375,0.056501765,3.1361446
2024-10-02 22:00:00,0.0,0,8.0388975,77.642265,178.69273,0.030625872,2.94393
