time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2023-03-01 00:00:00,0.0,0,4.578302,58.785736,156.74022,0.051323682,1.7801085
2023-03-01 01:00:00,0.0,0,4.613838,62.10791,162.50978,0.058920573,1.75129
2023-03-01 02:00:00,0.0,0,4.893874,57.690197,163.605,0.060464825,1.6031822
2023-03-01 03:00:00,0.0,0,5.6695695,52.51128,160.16447,0.07249313,1.6509722
2023-03-01 04:00:00,0.0,0,6.339354,50.507732,165.1562,0.110161364,1.7508755
2023-03-01 05:00:00,0.0,0,8.310052,49.71609,183.38707,0.2948693,2.0628264
2023-03-01 06:00:00,0.0,0,13.133594,45.77921,231.17433,1.172469,2.5036519
2023-03-01 07:00:00,0.0,0,11.956229,50.64239,206.97533,1.564466,3.0762722
2023-03-01 08:00:00,0.0,0,8.099137,50.087723,197.77544,1.364184,3.3784597
2023-03-01 09:00:00,0.0,0,6.828865,50.074047,191.25842,1.2263538,3.7411757
2023-03-01 10:00:00,0.0,0,6.1721344,52.71094,191.52855,1.0303866,3.5347703
2023-03-01 11:00:00,0.0,0,7.4187016,50.613358,192.92662,1.0126611,3.199481
2023-03-01 12:00:00,0.0,0,9.2136755,48.887463,190.54768,1.1408045,2.9869716
2023-03-01 13:00:00,0.0,0,10.691765,44.788692,190.17308,1.2993206,2.9501781
2023-03-01 14:00:00,0.0,0,9.8471155,46.026134,196.04738,1.3349401,3.187772
2023-03-01 15:00:00,0.0,0,11.883187,43.69714,206.59776,1.196481,3.4562654
2023-03-01 16:00:00,0.0,0,16.445795,38.53102,218.32845,0.8104084,3.7103999
2023-03-01 17:00:00,0.0,0,19.076508,33.413128,235.31421,0.5755112,3.8149612
2023-03-01 18:00:00,0.0,0,18.366184,31.447058,236.68506,0.50190604,3.6101377
2023-03-01 19:00:00,0.0,0,14.930038,38.0731,238.07082,0.35520032,3.3360004
2023-03-01 20:00:00,0.0,0,12.892724,39.78615,238.77478,0.26603666,3.278939
2023-03-01 21:00:00,0.0,0,10.266662,45.758007,235.21698,0.19696009,2.9304101
2023-03-01 22:00:00,0.0,0,8.854125,45.97575,228.69972,0.1405335,2.8462403
2023-03-01 23:00:00,0.0,0,7.5541625,45.596577,221.05745,0.10452794,2.7069664
2023-03-02 00:00:00,0.0,0,5.1874037,48.412983,210.91791,0.073631175,2.4611259
2023-03-02 01:00:00,0.0,0,5.06176,45.29057,206.56609,0.07929776,2.4643047
2023-03-02 02:00:00,0.0,0,4.62542,43.855175,202.36095,0.0774835,2.4281406
2023-03-02 03:00:00,0.0,0,4.580665,44.156223,202.47235,0.07134323,2.3626275
2023-03-02 04:00:00,0.0,0,4.63629,43.96935,207.53712,0.08819019,2.371195
2023-03-02 05:00:00,0.0,0,6.624515,42.090076,217.85193,0.20553632,2.7006748
2023-03-02 06:00:00,0.0,0,9.031384,40.265717,236.3424,0.62445337,2.8646266
2023-03-02 07:00:00,0.0,0,7.931416,40.382416,234.76369,1.0969619,3.1889772
2023-03-02 08:00:00,0.0,0,5.4739766,44.479496,230.4973,1.1245228,2.9480398
2023-03-02 09:00:00,0.0,0,4.090201,48.906345,223.92323,0.97578,2.6517563
2023-03-02 10:00:00,0.0,0,3.7236996,51.99378,218.11267,0.82454246,2.530976
2023-03-02 11:00:00,0.0,0,4.711946,54.718403,217.83165,0.8349707,2.6272569
2023-03-02 12:00:00,0.0,0,5.457436,57.173996,217.59819,0.8521851,2.779315
2023-03-02 13:00:00,0.0,0,5.8296914,57.8673,220.02826,0.84572697,2.9741404
2023-03-02 14:00:00,0.0,0,5.999439,59.01919,221.95763,0.817878,2.9958665
2023-03-02 15:00:00,0.0,0,8.054196,57.660797,232.90222,0.7015519,3.0175889
2023-03-02 16:00:00,0.0,0,12.800118,53.048374,245.50648,0.57623,2.996461
2023-03-02 17:00:00,0.0,0,18.75312,48.923843,225.92592,0.57699627,2.8194225
2023-03-02 18:00:00,0.0,0,18.950136,44.19951,235.79079,0.3707683,2.956444
2023-03-02 19:00:00,0.0,0,15.790933,43.6654,243.10162,0.25155106,3.0494206
2023-03-02 20:00:00,0.0,0,13.76884,43.491047,241.06012,0.19887263,2.9877284
2023-03-02 21:00:00,0.0,0,13.277768,46.52888,236.79582,0.17387809,2.6139364
2023-03-02 22:00:00,0.0,0,11.306976,46.63381,207.85204,0.1395648,1.8701463
2023-03-02 23:00:00,0.0,0,9.814195,48.500904,188.42798,0.106293045,1.4480962
2023-03-03 00:00:00,0.0,0,8.727501,46.934757,225.24823,0.09848537,1.5976347
2023-03-03 01:00:00,0.0,0,6.393539,42.879425,220.44641,0.10293633,1.7682886
2023-03-03 02:00:00,0.0,0,5.2183614,43.16205,214.15462,0.08952572,1.8656429
2023-03-03 03:00:00,0.0,0,4.662935,42.28184,210.2638,0.09348759,1.8706387
2023-03-03 04:00:00,0.0,0,4.859324,39.98166,207.81744,0.11811914,2.0877652
2023-03-03 05:00:00,0.0,0,5.9051285,39.106583,208.42183,0.22998197,2.1182501
2023-03-03 06:00:00,0.0,0,8.115077,35.991882,221.63023,0.6305463,2.2480216
2023-03-03 07:00:00,0.0,0,8.106156,39.840336,229.08044,1.3771343,2.371013
2023-03-03 08:00:00,0.0,0,7.1420293,43.850353,229.60394,1.6614051,2.3724008
2023-03-03 09:00:00,0.0,0,6.6032677,47.41833,225.16504,1.5488362,2.336538
2023-03-03 10:00:00,0.0,0,7.7041936,50.836468,219.71092,1.7408686,2.2763379
2023-03-03 11:00:00,0.0,0,9.090579,54.49356,213.0755,1.8541616,2.3907704
2023-03-03 12:00:00,0.0,0,9.62147,57.33136,201.9809,1.8829398,2.61682
2023-03-03 13:00:00,0.0,0,9.636567,60.487415,195.22296,1.8908371,2.7904413
2023-03-03 14:00:00,0.0,0,10.367786,62.39639,190.28752,1.5405935,2.6576004
2023-03-03 15:00:00,0.0,0,11.624031,61.533405,189.3465,1.1950303,2.4179802
2023-03-03 16:00:00,0.0,0,16.2807,53.88332,205.44261,0.7952904,2.299599
2023-03-03 17:00:00,0.0,0,21.781694,48.367218,223.81291,0.5143351,2.6521409
2023-03-03 18:00:00,0.0,0,24.266945,41.92821,236.34515,0.607729,3.238763
2023-03-03 19:00:00,0.0,0,22.48012,35.67326,235.84204,0.7391445,3.3834603
2023-03-03 20:00:00,0.0,0,22.138815,35.42982,225.27956,0.78495485,3.3373623
2023-03-03 21:00:00,0.0,0,20.098417,35.68528,212.07819,0.73675346,3.0320137
2023-03-03 22:00:00,0.0,0,15.3451605,36.246044,199.49207,0.3255618,2.5765483
2023-03-03 23:00:00,0.0,0,12.456147,37.57576,186.81133,0.2080499,2.0490751
