time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2023-10-01 00:00:00,0.0,0,7.9436417,41.025608,199.91504,0.0609172,3.1712952
2023-10-01 01:00:00,0.0,0,7.6706085,40.73982,191.07973,0.05294727,3.2981317
2023-10-01 02:00:00,0.0,0,6.3949833,40.486103,186.92345,0.05811706,3.550935
2023-10-01 03:00:00,0.0,0,7.080934,40.53236,187.7906,0.07416941,3.4834607
2023-10-01 04:00:00,0.0,0,8.6519165,38.880833,195.65108,0.10774077,4.3953333
2023-10-01 05:00:00,0.0,0,9.743623,40.507442,202.81776,0.36494422,5.3389244
2023-10-01 06:00:00,0.0,0,8.706262,43.730778,199.9179,1.4739628,5.8233514
2023-10-01 07:00:00,0.0,0,5.8586392,55.942417,193.71716,1.206768,6.50901
2023-10-01 08:00:00,0.0,0,4.092543,67.603065,184.57275,0.87049955,6.6830544
2023-10-01 09:00:00,0.0,0,2.749655,80.999596,177.79901,0.60030675,6.5510616
2023-10-01 10:00:00,0.0,0,2.418526,93.256294,171.98637,0.49375963,6.236744
2023-10-01 11:00:00,0.0,0,2.3275802,96.380516,167.70049,0.47059622,5.907415
2023-10-01 12:00:00,0.0,0,2.5183613,97.64344,164.44327,0.49907613,5.425301
2023-10-01 13:00:00,0.0,0,3.141863,97.7893,163.70636,0.53841126,5.1050735
2023-10-01 14:00:00,0.0,0,3.8355377,96.1773,165.33376,0.52534235,4.9779096
2023-10-01 15:00:00,0.0,0,5.082499,95.4989,171.40703,0.40317616,5.3102875
2023-10-01 16:00:00,0.0,0,7.916567,76.5755,192.5096,0.21412615,5.461159
2023-10-01 17:00:00,0.0,0,9.469399,72.12284,199.9594,0.11553398,5.536696
2023-10-01 18:00:00,0.0,0,9.270933,69.28577,199.81941,0.10095984,5.3163
2023-10-01 19:00:00,0.0,0,8.377322,62.117466,201.09276,0.09001511,5.0659294
2023-10-01 20:00:00,0.0,0,7.5479407,58.54544,203.30782,0.07931197,5.0513387
2023-10-01 21:00:00,0.0,0,6.1650863,60.69726,206.9532,0.0567096,5.3684916
2023-10-01 22:00:00,0.0,0,5.2475758,59.878506,202.85713,0.045902833,5.863958
2023-10-01 23:00:00,0.0,0,4.595962,58.68985,194.28088,0.035586942,5.8962283
2023-10-02 00:00:00,0.0,0,4.3738003,57.70093,189.24011,0.03389274,5.2661605
2023-10-02 01:00:00,0.0,0,4.625666,56.84222,190.60579,0.029038846,4.7215495
2023-10-02 02:00:00,0.0,0,4.4468756,56.477383,192.51959,0.028973268,5.261287
2023-10-02 03:00:00,0.0,0,4.615895,53.571056,197.85304,0.056375343,5.892916
2023-10-02 04:00:00,0.0,0,5.833898,49.66165,212.36012,0.120233305,6.550304
2023-10-02 05:00:00,0.0,0,7.66684,47.74516,223.9669,0.28754482,6.793445
2023-10-02 06:00:00,0.0,0,5.964167,51.555984,207.99886,0.7343969,6.999363
2023-10-02 07:00:00,0.0,0,4.273103,56.036854,199.45079,0.84012204,7.6123996
2023-10-02 08:00:00,0.0,0,3.3842628,63.153637,197.19916,0.8017208,6.6189613
2023-10-02 09:00:00,0.0,0,2.643181,70.15781,193.32922,0.6833732,6.3811474
2023-10-02 10:00:00,0.0,0,2.375328,77.11349,189.6311,0.6253975,6.02986
2023-10-02 11:00:00,0.0,0,2.3614852,81.15931,185.7995,0.6179927,5.384024
2023-10-02 12:00:00,0.0,0,2.5265875,83.2483,185.54533,0.5986768,5.1500587
2023-10-02 13:00:00,0.0,0,2.713686,82.39932,183.14705,0.58494455,5.1997685
2023-10-02 14:00:00,0.0,0,3.2956734,80.58202,184.44884,0.58559996,5.568514
2023-10-02 15:00:00,0.0,0,4.8160996,77.03711,188.07784,0.49268135,5.6677365
2023-10-02 16:00:00,0.0,0,7.267458,70.36314,202.34326,0.2764367,5.9079757
2023-10-02 17:00:00,0.0,0,8.92225,61.6884,202.9104,0.15821892,6.193249
2023-10-02 18:00:00,0.0,0,8.941113,55.44083,204.19496,0.12970483,5.6168046
2023-10-02 19:00:00,0.0,0,9.649686,51.27264,207.39064,0.12242177,4.6682725
2023-10-02 20:00:00,0.0,0,9.686987,49.560345,204.89217,0.104518466,4.0677743
2023-10-02 21:00:00,0.0,0,8.33107,45.429493,201.37889,0.085654736,4.0847583
2023-10-02 22:00:00,0.0,0,6.420367,43.024616,204.22844,0.07087368,3.6667793
2023-10-02 23:00:00,0.0,0,5.6538377,47.133015,206.78087,0.05520236,3.0015042
2023-10-03 00:00:00,0.0,0,4.740245,49.837296,197.7138,0.049086362,3.03451
2023-10-03 01:00:00,0.0,0,6.0249515,49.658035,199.381,0.04631732,3.344106
2023-10-03 02:00:00,0.0,0,6.456301,45.31105,205.10997,0.045171868,3.4733346
2023-10-03 03:00:00,0.0,0,6.6161504,42.68555,212.164,0.07238891,3.3861334
2023-10-03 04:00:00,0.0,0,8.944417,38.162724,217.48091,0.15639518,3.6754863
2023-10-03 05:00:00,0.0,0,11.486537,30.923782,234.4211,0.45235756,4.1297736
