time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2023-07-01 00:00:00,0.0,0,6.4427695,53.66917,213.95561,0.038038313,1.7651964
2023-07-01 01:00:00,0.0,0,7.319301,52.069683,214.1558,0.048600238,1.621117
2023-07-01 02:00:00,0.0,0,7.9417624,50.00984,214.06512,0.05038592,1.5474797
2023-07-01 03:00:00,0.0,0,8.188483,47.143692,216.12022,0.0641555,1.5531564
2023-07-01 04:00:00,0.0,0,9.482564,47.665592,218.9991,0.57634634,1.6558647
2023-07-01 05:00:00,0.0,0,11.227361,46.2515,237.57367,1.9537834,1.671173
2023-07-01 06:00:00,0.0,0,9.027389,57.22905,239.72198,1.9649061,2.1622906
2023-07-01 07:00:00,0.0,0,6.8225136,72.08365,234.82654,1.4935384,2.592517
2023-07-01 08:00:00,0.0,0,5.916271,84.5117,235.93379,1.0507592,2.9306028
2023-07-01 09:00:00,0.0,0,4.441579,96.75924,228.62598,0.6307943,2.3868647
2023-07-01 10:00:00,0.0,0,2.9124477,98.13741,203.32884,0.4844432,1.8531427
2023-07-01 11:00:00,0.0,0,2.6897163,99.68859,178.2293,0.48903802,1.6101704
2023-07-01 12:00:00,0.0,0,2.4778216,97.51847,168.02905,0.4863547,1.5279192
2023-07-01 13:00:00,0.0,0,2.4417355,95.63425,162.86552,0.4561497,1.5361496
2023-07-01 14:00:00,0.0,0,2.6484597,94.33511,163.3467,0.44860628,1.4014829
2023-07-01 15:00:00,0.0,0,3.1650946,91.96348,165.036,0.4478067,1.3711681
2023-07-01 16:00:00,0.0,0,3.7040508,87.8443,166.2093,0.42164317,1.4849658
2023-07-01 17:00:00,0.0,0,4.256535,86.380646,170.9289,0.27191123,1.7390308
2023-07-01 18:00:00,0.0,0,5.974911,81.04203,179.68628,0.10864427,1.9476224
2023-07-01 19:00:00,0.0,0,7.688391,70.7138,187.67653,0.06502864,1.8591161
2023-07-01 20:00:00,0.0,0,8.826888,63.52646,195.28145,0.066620894,1.9610376
2023-07-01 21:00:00,0.0,0,9.234079,56.77695,204.51564,0.060794443,2.2399065
2023-07-01 22:00:00,0.0,0,9.285313,51.374786,205.74245,0.06022549,2.3335917
2023-07-01 23:00:00,0.0,0,9.49063,47.612457,206.15224,0.054224033,2.4474018
2023-07-02 00:00:00,0.0,0,8.080101,46.28545,205.78294,0.057496566,2.430072
2023-07-02 01:00:00,0.0,0,8.475116,43.563,205.5013,0.04916201,2.6964912
2023-07-02 02:00:00,0.0,0,7.196127,45.13293,204.09438,0.05467093,2.5942147
2023-07-02 03:00:00,0.0,0,6.7114005,44.456467,201.43164,0.06257602,2.0021336
2023-07-02 04:00:00,0.0,0,7.4353786,44.409332,203.4654,0.41878533,2.0584671
2023-07-02 05:00:00,0.0,0,7.1964593,48.033497,208.02582,1.2266822,2.2462647
2023-07-02 06:00:00,0.0,0,6.135317,57.30882,209.97131,1.4509157,2.522609
2023-07-02 07:00:00,0.0,0,5.9155827,72.8001,217.22813,1.184565,2.7173831
2023-07-02 08:00:00,0.0,0,4.944497,85.61557,215.1225,0.81609493,2.723792
2023-07-02 09:00:00,0.0,0,3.549262,98.1904,208.79677,0.592042,2.6322598
2023-07-02 10:00:00,0.0,0,2.9532797,103.49667,206.87071,0.4559649,2.4606972
2023-07-02 11:00:00,0.0,0,2.4978755,108.42303,191.43034,0.44645348,2.3750434
2023-07-02 12:00:00,0.0,0,2.8452408,107.35183,181.12463,0.4658669,2.3264081
2023-07-02 13:00:00,0.0,0,2.8777897,107.20248,179.60945,0.48561797,2.0529535
2023-07-02 14:00:00,0.0,0,3.82139,103.132965,191.03064,0.597695,1.9830265
2023-07-02 15:00:00,0.0,0,4.7947373,102.6675,192.33727,0.67514294,1.9262685
2023-07-02 16:00:00,0.0,0,6.344005,102.04952,186.61115,0.633174,1.9830798
2023-07-02 17:00:00,0.0,0,9.010528,90.61905,185.39662,0.42207292,2.02958
2023-07-02 18:00:00,0.0,0,10.208055,77.79922,181.85735,0.1387922,1.9458876
2023-07-02 19:00:00,0.0,0,11.351228,68.143,191.77766,0.08452913,1.9856726
2023-07-02 20:00:00,0.0,0,13.134034,58.819477,196.66667,0.08655772,2.0893202
2023-07-02 21:00:00,0.0,0,13.063893,50.264984,201.22627,0.08725969,2.2073991
2023-07-02 22:00:00,0.0,0,12.390507,42.926975,199.94653,0.06908163,2.1894696
2023-07-02 23:00:00,0.0,0,9.926255,39.002724,203.52747,0.056571063,2.213886
2023-07-03 00:00:00,0.0,0,7.50969,40.64705,179.40045,0.0431686,2.3051379
2023-07-03 01:00:00,0.0,0,5.8974996,42.78659,180.08626,0.045220423,2.5735738
2023-07-03 02:00:00,0.0,0,4.8414626,51.087933,182.38951,0.04632865,2.456062
2023-07-03 03:00:00,0.0,0,4.7358055,48.677044,184.78941,0.085011624,2.4091637
2023-07-03 04:00:00,0.0,0,5.0089617,45.992046,200.52515,0.4353735,2.51441
2023-07-03 05:00:00,0.0,0,4.5873733,51.387238,203.98865,0.8516777,2.8816044
2023-07-03 06:00:00,0.0,0,4.2404294,57.243725,197.61255,1.1007922,3.1845129
2023-07-03 07:00:00,0.0,0,3.134827,68.78641,192.8393,0.7906363,3.478327
2023-07-03 08:00:00,0.0,0,2.7620592,76.87965,193.36627,0.591252,3.653381
2023-07-03 09:00:00,0.0,0,2.2933931,83.299644,187.84009,0.55210435,3.7018354
2023-07-03 10:00:00,0.0,0,2.5358863,87.61984,189.16785,0.5707599,3.6203015
2023-07-03 11:00:00,0.0,0,2.938907,90.50748,191.62907,0.6613594,3.4043453
2023-07-03 12:00:00,0.0,0,3.177909,94.2981,191.73332,0.6816005,3.196844
2023-07-03 13:00:00,0.0,0,3.5266488,96.324974,196.50525,0.7248034,3.2092917
2023-07-03 14:00:00,0.0,0,3.7275112,95.40369,198.70245,0.683103,3.3393905
2023-07-03 15:00:00,0.0,0,3.9854157,95.51734,209.40376,0.6203232,3.5470734
2023-07-03 16:00:00,0.0,0,5.121921,93.15246,206.45038,0.5817903,3.8856173
2023-07-03 17:00:00,0.0,0,6.210302,89.11335,193.38489,0.38574192,3.8042839
2023-07-03 18:00:00,0.0,0,8.816466,80.16468,204.9387,0.1658954,3.5489337
2023-07-03 19:00:00,0.0,0,10.842162,72.15064,219.82008,0.07401842,3.0621786
2023-07-03 20:00:00,0.0,0,11.761416,64.75359,222.36946,0.06665038,2.8175914
2023-07-03 21:00:00,0.0,0,11.69003,63.192356,223.46117,0.055730533,2.6902704
2023-07-03 22:00:00,0.0,0,10.1877165,62.560085,222.9576,0.040907424,2.7841396
