time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2023-12-01 00:00:00,0.0,0,7.3350945,28.369774,243.2004,0.1970951,2.2846472
2023-12-01 01:00:00,0.0,0,6.284599,26.218414,232.27502,0.14536047,2.1387112
2023-12-01 02:00:00,0.0,0,6.2553024,25.67945,221.21773,0.12262073,2.293664
2023-12-01 03:00:00,0.0,0,7.5565,24.245697,216.88637,0.16158216,2.4548116
2023-12-01 04:00:00,0.0,0,9.187339,22.511568,216.75183,0.2774243,3.0919197
2023-12-01 05:00:00,0.0,0,13.489938,18.911383,238.90437,0.8356498,4.029318
2023-12-01 06:00:00,0.0,0,18.169868,16.2543,275.36594,2.7247097,5.180006
2023-12-01 07:00:00,0.0,0,19.205187,16.725544,300.5951,6.351303,5.2813473
2023-12-01 08:00:00,0.0,0,18.093328,21.939774,288.91183,8.98567,5.8489423
2023-12-01 09:00:00,0.0,0,16.604393,26.16781,270.54007,6.233423,6.0465446
2023-12-01 10:00:00,0.0,0,16.397923,34.098793,245.0967,6.4076424,6.2405643
2023-12-01 11:00:00,0.0,0,17.90135,40.166122,243.69548,7.707189,6.864363
2023-12-01 12:00:00,0.0,0,20.405031,42.513065,253.6908,6.3133407,6.8387694
2023-12-01 13:00:00,0.0,0,25.24289,42.098442,261.03635,5.598308,7.0702004
2023-12-01 14:00:00,0.0,0,31.250107,35.589123,268.62347,5.136422,6.8947234
2023-12-01 15:00:00,0.0,0,36.162106,27.64667,288.3263,3.4984436,6.8391347
2023-12-01 16:00:00,0.0,0,33.386543,21.807434,294.88422,2.860998,7.011188
2023-12-01 17:00:00,0.0,0,30.306221,18.969202,302.84067,3.406766,6.9092503
2023-12-01 18:00:00,0.0,0,19.23622,19.653572,289.62936,1.1522659,6.2975545
2023-12-01 19:00:00,0.0,0,17.118008,22.3006,281.2842,0.98561984,5.264001
2023-12-01 20:00:00,0.0,0,15.842351,23.41932,275.7543,1.0321888,5.2768807
2023-12-01 21:00:00,0.0,0,12.449859,28.323523,270.7735,1.0474939,4.0851636
2023-12-01 22:00:00,0.0,0,8.654758,33.927814,251.91077,0.60956043,3.4001935
2023-12-01 23:00:00,0.0,0,8.750902,35.25545,236.99657,0.2830625,2.664398
2023-12-02 00:00:00,0.0,0,7.030064,36.151524,205.5366,0.11629572,2.37592
2023-12-02 01:00:00,0.0,0,6.138479,37.997753,199.95642,0.09593037,2.2973123
2023-12-02 02:00:00,0.0,0,7.043037,36.881783,195.57808,0.09888268,2.0948174
2023-12-02 03:00:00,0.0,0,6.5701747,35.57002,192.87439,0.11142376,2.2675846
2023-12-02 04:00:00,0.0,0,6.382265,34.92017,190.51031,0.17256123,2.3765452
2023-12-02 05:00:00,0.0,0,9.254735,33.91637,199.2365,0.34789,2.6980731
2023-12-02 06:00:00,0.0,0,10.301583,34.452923,197.27382,0.5336247,3.0704138
2023-12-02 07:00:00,0.0,0,8.984729,40.942886,192.18268,1.6418167,3.063637
2023-12-02 08:00:00,0.0,0,7.8626065,44.47343,176.30318,1.8676958,2.9683197
2023-12-02 09:00:00,0.0,0,8.075791,46.590496,179.49324,2.1501153,2.679684
2023-12-02 10:00:00,0.0,0,10.997741,48.895603,175.09827,2.2963367,2.3757956
2023-12-02 11:00:00,0.0,0,10.788966,52.227245,167.6899,2.158931,2.2715008
2023-12-02 12:00:00,0.0,0,9.992003,55.31515,166.51086,1.4690981,1.9815521
2023-12-02 13:00:00,0.0,0,9.044572,56.157787,166.66272,1.4661363,1.9171911
2023-12-02 14:00:00,0.0,0,8.293673,56.84442,166.86241,0.768272,1.8510656
2023-12-02 15:00:00,0.0,0,7.1339774,55.04399,168.2357,0.3161607,1.6842966
2023-12-02 16:00:00,0.0,0,7.276312,50.845596,172.35956,0.16851233,1.7572006
2023-12-02 17:00:00,0.0,0,7.076281,50.520416,172.01076,0.15651599,1.8512479
2023-12-02 18:00:00,0.0,0,5.9561057,51.538708,168.87537,0.1443657,1.8309622
2023-12-02 19:00:00,0.0,0,6.3276825,50.651608,172.87968,0.13672973,1.8004457
2023-12-02 20:00:00,0.0,0,6.24283,48.853374,172.4383,0.1108044,1.9049667
2023-12-02 21:00:00,0.0,0,5.788069,48.60027,177.9262,0.089093775,1.8286611
2023-12-02 22:00:00,0.0,0,5.3708253,48.036774,176.42896,0.077604294,1.6241094
2023-12-02 23:00:00,0.0,0,4.536285,45.738117,181.05363,0.08765847,1.6157638
2023-12-03 00:00:00,0.0,0,3.8199284,46.754475,183.04509,0.070391096,1.8860149
2023-12-03 01:00:00,0.0,0,3.4954462,47.179993,177.73999,0.03707316,2.015014
2023-12-03 02:00:00,0.0,0,3.4249344,45.24644,175.11499,0.03387868,2.1802862
2023-12-03 03:00:00,0.0,0,3.7295768,41.409256,171.74757,0.043930784,2.330084
2023-12-03 04:00:00,0.0,0,4.518741,38.102566,175.29176,0.08855494,2.6948555
2023-12-03 05:00:00,0.0,0,5.0151124,38.73241,178.37703,0.1786707,3.429661
2023-12-03 06:00:00,0.0,0,6.0385156,33.52916,182.29315,0.34445098,3.6407602
2023-12-03 07:00:00,0.0,0,7.353969,36.44402,181.22108,1.1370898,4.003288
2023-12-03 08:00:00,0.0,0,7.0051246,32.401157,180.75795,2.337129,3.9649563
2023-12-03 09:00:00,0.0,0,6.857231,41.69209,185.02063,2.1979942,3.849125
2023-12-03 10:00:00,0.0,0,7.6149554,42.126293,184.0459,2.087445,4.0155563
2023-12-03 11:00:00,0.0,0,10.148177,40.731987,190.19829,2.4035575,4.3369718
2023-12-03 12:00:00,0.0,0,13.002098,38.753834,195.19873,2.5101345,5.1504765
